,Unnamed: 0,seconds_since_hr_recording,value,id
0,0,0.0,-0.993068906930271,"(1, 19)"
1,1,300.0,-0.1815895481218773,"(1, 19)"
2,2,600.0,0.8032296993644633,"(1, 19)"
3,3,900.0,0.648477269676684,"(1, 19)"
4,4,1200.0,0.7391245413384402,"(1, 19)"
5,5,1500.0,0.298513911904425,"(1, 19)"
6,6,1800.0,0.7084811478338315,"(1, 19)"
7,7,2100.0,0.82994844537838,"(1, 19)"
8,8,2400.0,0.5715302405236435,"(1, 19)"
9,9,2700.0,-0.2649267183777564,"(1, 19)"
10,10,3000.0,0.1575805642289282,"(1, 19)"
11,11,3300.0,0.1614785619222114,"(1, 19)"
12,12,3600.0,-0.2927068080675994,"(1, 19)"
13,13,3900.0,-1.412649050160952,"(1, 19)"
14,14,4200.0,-0.7148112448994792,"(1, 19)"
15,15,4500.0,-0.5442692750682323,"(1, 19)"
16,16,4800.0,-0.5722944809179766,"(1, 19)"
17,17,5100.0,-0.3131380611809108,"(1, 19)"
18,18,5400.0,0.2303163830987763,"(1, 19)"
19,19,5700.0,0.3333953204303195,"(1, 19)"
20,1,300.0,-0.1815895481218773,"(1, 20)"
21,2,600.0,0.8032296993644633,"(1, 20)"
22,3,900.0,0.648477269676684,"(1, 20)"
23,4,1200.0,0.7391245413384402,"(1, 20)"
24,5,1500.0,0.298513911904425,"(1, 20)"
25,6,1800.0,0.7084811478338315,"(1, 20)"
26,7,2100.0,0.82994844537838,"(1, 20)"
27,8,2400.0,0.5715302405236435,"(1, 20)"
28,9,2700.0,-0.2649267183777564,"(1, 20)"
29,10,3000.0,0.1575805642289282,"(1, 20)"
30,11,3300.0,0.1614785619222114,"(1, 20)"
31,12,3600.0,-0.2927068080675994,"(1, 20)"
32,13,3900.0,-1.412649050160952,"(1, 20)"
33,14,4200.0,-0.7148112448994792,"(1, 20)"
34,15,4500.0,-0.5442692750682323,"(1, 20)"
35,16,4800.0,-0.5722944809179766,"(1, 20)"
36,17,5100.0,-0.3131380611809108,"(1, 20)"
37,18,5400.0,0.2303163830987763,"(1, 20)"
38,19,5700.0,0.3333953204303195,"(1, 20)"
39,20,6000.0,0.4495028324114335,"(1, 20)"
40,2,600.0,0.8032296993644633,"(1, 21)"
41,3,900.0,0.648477269676684,"(1, 21)"
42,4,1200.0,0.7391245413384402,"(1, 21)"
43,5,1500.0,0.298513911904425,"(1, 21)"
44,6,1800.0,0.7084811478338315,"(1, 21)"
45,7,2100.0,0.82994844537838,"(1, 21)"
46,8,2400.0,0.5715302405236435,"(1, 21)"
47,9,2700.0,-0.2649267183777564,"(1, 21)"
48,10,3000.0,0.1575805642289282,"(1, 21)"
49,11,3300.0,0.1614785619222114,"(1, 21)"
50,12,3600.0,-0.2927068080675994,"(1, 21)"
51,13,3900.0,-1.412649050160952,"(1, 21)"
52,14,4200.0,-0.7148112448994792,"(1, 21)"
53,15,4500.0,-0.5442692750682323,"(1, 21)"
54,16,4800.0,-0.5722944809179766,"(1, 21)"
55,17,5100.0,-0.3131380611809108,"(1, 21)"
56,18,5400.0,0.2303163830987763,"(1, 21)"
57,19,5700.0,0.3333953204303195,"(1, 21)"
58,20,6000.0,0.4495028324114335,"(1, 21)"
